topic,argument,key_point,stance,label
We should abolish the three-strikes laws,a criminal that offends two times is likely to keep committing crimes so the three strikes law would keep them out of the public earlier for the better,the three-strikes law is good at keeping criminals off of the streets,-1,1
We should ban cosmetic surgery,a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
Entrapment should be legalized,a person could be tempted to commit a crime they would not otherwise have done if faced with entrapment practices.,entrapment is wrong and should be illegal,-1,0
We should ban cosmetic surgery,a person has the right to choose cosmetic surgery if they want to and they should not be prevented from doing so.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1
We should subsidize student loans,a student does not have the resources to pay for the high cost of college,subsidizing student loans would encourage more to pursue higher education.,1,0
We should subsidize student loans,a student loan is a loan that the person chose to take out.  there's no reason to offer a subsidy for them any more than any other type of loan.,student loans should be paid by the borrower like all other loans.,-1,1
We should ban algorithmic trading,a well-known economist has come out to say that algorithmic trading will be the doom of our economy,algorithmic trading gives an unfair advantage in the market,1,0
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy gives administrators no leeway if a student commits a less than serious crime.,zero-tolerance policies in schools are too strict and unnecessary,-1,0
We should adopt a zero-tolerance policy in schools,"a zero-tolerance policy in school is impracticle when it comes to bullying and fighting as situations are often complicated and long-standing, sometimes initially with no clear outcome.",zero-tolerance policies in schools are too strict and unnecessary,-1,0
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in school systems could put an end to the rampant spread of bullying which has increased the suicide rate among children.,clear boundaries and expectations must be set to protect students.,1,1
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in school would improve behaviour and thus improve results.,clear boundaries and expectations must be set to protect students.,1,0
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in schools is the wrong way to go as it would too often cause innocent students being punished for being pushed too far.,zero-tolerance policies in schools are too strict and unnecessary,-1,0
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in schools shows children that the schools are not playing around when it comes to punishment,clear boundaries and expectations must be set to protect students.,1,0
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in schools would remove disruptive students from class and facilitate better learning for the rest of the students.,clear boundaries and expectations must be set to protect students.,1,0
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy insures that children are actually paying attention to their lessons and doing their best to not get into trouble.,clear boundaries and expectations must be set to protect students.,1,0
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy is a way to keep kids safe,clear boundaries and expectations must be set to protect students.,1,1
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy is too restrictive for young children,zero-tolerance policies in schools are too strict and unnecessary,-1,1
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy will weaken students. it shields them from experiences (mainly negative) that they may face in the real world.,zero-tolerance policies in schools are too strict and unnecessary,-1,0
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy would help keep children safer.,clear boundaries and expectations must be set to protect students.,1,1
We should abolish the three-strikes laws,abolishing the three-strikes laws is mandatory because is not supporting evidence and not following the evidences in such a cases is abstract and not part of our western society.,people who have three minor offences are unfairly punished.,1,0
We should adopt a zero-tolerance policy in schools,adopting a zero tolerance rule in schools is good for safety.,clear boundaries and expectations must be set to protect students.,1,1
We should adopt a zero-tolerance policy in schools,adopting a zero-tolerance policy helps to combat violence and drug abuse in schools,clear boundaries and expectations must be set to protect students.,1,1
We should adopt a zero-tolerance policy in schools,adopting a zero-tolerance policy in schools is unfair since it takes no account of the circumstances of the infraction,zero-tolerance policies in schools are too strict and unnecessary,-1,0
We should adopt a zero-tolerance policy in schools,adopting a zero-tolerance policy was shown to work in new york with crime and so would help in schools too.,clear boundaries and expectations must be set to protect students.,1,0
We should ban cosmetic surgery,adults should have the right to modify their bodies if they wish to,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1
We should ban algorithmic trading,"algorithimic trading, which to all intents and purposes is nothing more than ai-enabled gambling, makes a volatile, destructive and unethical trade even more so.",algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic commerce does not do well to global markets,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,"algorithmic trading allows for greater numbers of trades to happen, getting more people involved in the economy","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,"algorithmic trading allows for instantaneous response to the financial environment of the moment, without need for human thought or indecision.","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,"algorithmic trading allows for more efficient, higher volume trading patterns, encouraging lower-cost funds and investment vehicles, benefiting the retail investor.","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,"algorithmic trading allows for quicker more automated trading by utilizing mathematics and technology, this is simply a technological advancement as we see in all fields of business","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,"algorithmic trading can be processed by computers much quicker than trades by humans, this gives some rich firms an unfair advantage.",algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading can be rigged to benefit those who have the most money to gain,algorithmic trading gives an unfair advantage in the market,1,1
