topic,argument,key_point,stance,label,argument_vi
We should abolish the three-strikes laws,a criminal that offends two times is likely to keep committing crimes so the three strikes law would keep them out of the public earlier for the better,the three-strikes law is good at keeping criminals off of the streets,-1,1,"Một tội phạm tái phạm đến lần thứ hai thì khả năng cao là sẽ tiếp tục phạm tội, vì thế chính sách 'ba lần vi phạm' sẽ loại bỏ họ khỏi cộng đồng sớm hơn để đảm bảo an toàn."
We should ban cosmetic surgery,a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0,"Việc thiếu tự tin do ngoại hình có thể gây ra tác động tiêu cực nghiêm trọng đến cuộc sống, và phẫu thuật thẩm mỹ chính là giải pháp để giảm bớt gánh nặng đó."
Entrapment should be legalized,a person could be tempted to commit a crime they would not otherwise have done if faced with entrapment practices.,entrapment is wrong and should be illegal,-1,0,Một người có thể bị cám dỗ phạm tội mà họ vốn dĩ sẽ không làm nếu không bị đặt vào tình huống 'gài bẫy' từ phía thực thi pháp luật.
We should ban cosmetic surgery,a person has the right to choose cosmetic surgery if they want to and they should not be prevented from doing so.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1,"Mỗi người đều có quyền tự quyết định việc phẫu thuật thẩm mỹ nếu họ muốn, và không ai có quyền ngăn cản họ thực hiện điều đó."
We should subsidize student loans,a student does not have the resources to pay for the high cost of college,subsidizing student loans would encourage more to pursue higher education.,1,0,Sinh viên hiện nay không có đủ tiềm lực tài chính để chi trả cho mức học phí đắt đỏ của đại học.
We should subsidize student loans,a student loan is a loan that the person chose to take out.  there's no reason to offer a subsidy for them any more than any other type of loan.,student loans should be paid by the borrower like all other loans.,-1,1,"Khoản vay sinh viên là khoản nợ mà chính người đó đã tự nguyện lựa chọn, nên chẳng có lý do gì để trợ cấp cho nó nhiều hơn bất kỳ loại hình vay mượn nào khác."
We should ban algorithmic trading,a well-known economist has come out to say that algorithmic trading will be the doom of our economy,algorithmic trading gives an unfair advantage in the market,1,0,Một chuyên gia kinh tế có tên tuổi đã lên tiếng cảnh báo rằng giao dịch thuật toán sẽ là dấu chấm hết cho nền kinh tế của chúng ta.
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy gives administrators no leeway if a student commits a less than serious crime.,zero-tolerance policies in schools are too strict and unnecessary,-1,0,Chính sách không khoan nhượng không cho phép ban quản lý có bất kỳ sự linh hoạt nào nếu học sinh mắc phải những lỗi không quá nghiêm trọng.
We should adopt a zero-tolerance policy in schools,"a zero-tolerance policy in school is impracticle when it comes to bullying and fighting as situations are often complicated and long-standing, sometimes initially with no clear outcome.",zero-tolerance policies in schools are too strict and unnecessary,-1,0,"Chính sách không khoan nhượng trong trường học là thiếu thực tế khi giải quyết vấn nạn bắt nạt và ẩu đả, vì các tình huống này thường rất phức tạp, kéo dài và đôi khi không rõ ràng ngay từ đầu."
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in school systems could put an end to the rampant spread of bullying which has increased the suicide rate among children.,clear boundaries and expectations must be set to protect students.,1,1,"Chính sách không khoan nhượng trong hệ thống giáo dục có thể chấm dứt tình trạng bắt nạt đang lan tràn, vốn là nguyên nhân làm gia tăng tỷ lệ tự tử ở trẻ em."
