config,source_article,logical_fallacies,text_vi
edu,"company's slogan ""Expect More. Pay Less.""",appeal to emotion,"Slogan của công ty là 'Mong đợi nhiều hơn, trả ít hơn'."
edu,"The bigger a child's shoe size, the better the child's handwriting",false causality,Bàn chân trẻ em càng to thì chữ viết càng đẹp.
edu,"Since many people believe this, then it must be true",ad populum,"Vì nhiều người tin điều đó, nên nó chắc chắn là đúng."
edu,Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.,circular reasoning,"Thượng nghị sĩ Randall không nói dối khi bà ấy bảo quan tâm đến cử tri, vì bà ấy sẽ chẳng bao giờ nói dối những người mà mình quan tâm."
edu,"A mother is telling her daughter that she went over her data for the month, and the daughter begins telling her mother about getting an A on a math test.",fallacy of relevance,"Người mẹ đang trách con gái về việc dùng quá dung lượng data, còn cô con gái thì lảng tránh sang chuyện vừa được điểm A môn Toán."
edu,A mother tells her children not to leave the yard because there might be wild animals in the woods.,appeal to emotion,Người mẹ dặn các con không được ra khỏi sân vì sợ trong rừng có thú dữ.
edu,"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization,"Nếu chúng ta cấm xe Hummer vì nó gây hại cho môi trường, thì chẳng mấy chốc chính phủ sẽ cấm tiệt mọi loại xe, nên chúng ta không nên cấm xe Hummer."
edu,very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,false causality,"Mỗi lần Joe đi bơi, anh ấy đều mặc quần bơi Speedo. Chắc hẳn phải có điều gì đó trong chiếc quần Speedo khiến anh ấy muốn đi bơi."
edu,"""You were late tonight. You must be cheating!""",faulty generalization,"Bạn đến muộn tối nay, chắc chắn là bạn đang ngoại tình rồi!"
edu,"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",false causality,"Mỗi lần tôi đi ngủ thì mặt trời lặn. Vậy nên, việc tôi đi ngủ chính là nguyên nhân làm mặt trời lặn."
edu,"Makes people feel as though everyone is doing it, so they should too.",ad populum,"Khiến mọi người cảm thấy như ai cũng đang làm vậy, nên mình cũng phải làm theo thôi."
edu,You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,ad hominem,Bạn phản đối đề xuất của thượng nghị sĩ về việc mở rộng bảo hiểm y tế do chính phủ tài trợ cho trẻ em nghèo thuộc các nhóm thiểu số chỉ vì thượng nghị sĩ đó là người thuộc Đảng Dân chủ cấp tiến.
edu,"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",fallacy of relevance,"Con: Cá này vị lạ lắm, con không muốn ăn đâu.
Cha mẹ: Ở châu Phi đang có biết bao đứa trẻ chết đói kìa. Ăn tối đi."
edu,"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.",fallacy of extension,"John: Tôi nghĩ chúng ta nên thuê người thiết kế lại trang web.
Lola: Ý anh là chúng ta nên ném tiền qua cửa sổ cho bên ngoài thay vì xây dựng đội ngũ thiết kế nội bộ à? Việc đó sẽ làm hại công ty về lâu dài đấy."
edu,"""Beware of appeals made only to your feelings and not to your logic.""",appeal to emotion,"""Hãy cảnh giác với những lời kêu gọi chỉ đánh vào cảm xúc mà thiếu đi logic."""
edu,"taps into people's desire to belong to a group. ""Everyone else is doing it!""",ad populum,"Tận dụng khao khát được thuộc về một nhóm của con người. ""Ai cũng đang làm thế cả!"""
edu,Science shows us that improved quality of life comes through research and invention.,equivocation,Khoa học chứng minh rằng chất lượng cuộc sống được cải thiện là nhờ nghiên cứu và phát minh.
